Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_05_23_14/2016_10_31_10_41_01_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_06_09_47/2016_10_31_11_27_43_openmpLavaMD_carolxeon1-mic0.log
dim_cpu;main_check.c;56;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_07_59_09/2016_10_31_13_17_21_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_17_46_48/2016_10_31_23_06_38_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_23_09_00/2016_11_01_04_29_45_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_16_04_52/2016_10_31_21_24_26_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_19_34_01/2016_11_01_00_54_10_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_12_25_45/2016_10_31_17_44_43_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_09_45_21/2016_10_31_15_03_53_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_17_47_07/2016_10_31_23_06_58_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_16/2016_10_16_18_54_51/2016_10_16_23_15_18_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_16/2016_10_16_02_12_23/2016_10_16_06_30_05_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_16/2016_10_16_14_33_21/2016_10_16_18_53_05_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_16/2016_10_16_14_31_54/2016_10_16_18_51_38_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_16/2016_10_16_00_26_29/2016_10_16_04_43_55_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_16/2016_10_16_05_42_23/2016_10_16_10_00_42_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_04_17_13/2016_10_12_08_19_24_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_06_03_47/2016_10_12_10_06_14_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_09_23_28/2016_10_12_13_26_30_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_08_37_30/2016_10_12_12_40_23_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_06_47_47/2016_10_12_10_50_23_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_15_39_56/2016_10_12_19_44_00_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_20_49_40/2016_10_13_00_54_35_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_12/2016_10_12_18_12_18/2016_10_12_22_16_47_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_18_34_37/2016_10_26_23_34_45_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_20_32_55/2016_10_27_01_33_22_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_00_37_04/2016_10_26_05_34_13_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_14_02_04/2016_10_26_19_01_25_openmpLavaMD_carolxeon1-mic0.log
m;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_05_49_17/2016_10_26_10_47_18_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_03_18_56/2016_10_26_08_16_32_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_23_08_06/2016_10_27_04_08_58_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_20_25_11/2016_10_27_01_25_38_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_26/2016_10_26_18_38_42/2016_10_26_23_38_50_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_06_41_55/2016_10_29_11_52_00_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_04_08_24/2016_10_29_09_18_03_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_20_22_25/2016_10_30_01_34_45_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_19_28_09/2016_10_30_00_40_20_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_04_03_22/2016_10_29_09_12_59_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_23_56_51/2016_10_30_05_09_46_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_29/2016_10_29_00_24_12/2016_10_29_05_33_13_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_19_51_26/2016_11_02_01_15_34_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_00_57_50/2016_11_01_06_18_51_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_15_21_14/2016_11_01_20_44_37_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_11_46_20/2016_11_01_17_09_10_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_06_25_41/2016_11_01_11_47_37_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_09_04_10/2016_11_01_14_26_33_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_10_56_15/2016_11_01_16_18_55_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_20_48_54/2016_11_02_02_13_13_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_11_01/2016_11_01_20_44_12/2016_11_02_02_08_31_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_22_53_39/2016_10_26_03_50_30_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_01_54_08/2016_10_25_06_47_32_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_05_18_26/2016_10_25_10_12_25_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_16_19_19/2016_10_25_21_15_06_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_13_36_16/2016_10_25_18_31_37_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_05_13_51/2016_10_25_10_07_49_openmpLavaMD_carolxeon1-mic0.log
__GI__IO_file_jumps;fileops.c;1525;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_21_56_51/2016_10_26_02_53_33_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_25/2016_10_25_18_04_17/2016_10_25_23_00_20_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_21_25_19/2016_10_22_02_06_04_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_09_50_00/2016_10_21_14_28_49_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_22_20_55/2016_10_22_03_01_49_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_02_52_20/2016_10_21_07_30_01_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_03_45_06/2016_10_21_08_22_55_openmpLavaMD_carolxeon1-mic0.log
m;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_04_36_44/2016_10_21_09_14_42_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_06_22_16/2016_10_21_11_00_30_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_11_46_05/2016_10_21_16_25_14_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_02_05_14/2016_10_21_06_42_47_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_12_35_31/2016_10_21_17_14_48_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_21/2016_10_21_15_58_30/2016_10_21_20_38_21_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_04_22_46/2016_10_14_08_32_53_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_08_57_26/2016_10_14_13_08_20_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_23_42_14/2016_10_15_03_55_33_openmpLavaMD_carolxeon1-mic0.log
m;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_09_46_39/2016_10_14_13_57_41_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_08_58_02/2016_10_14_13_08_55_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_01_44_00/2016_10_14_05_53_41_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_18_41_42/2016_10_14_22_54_12_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_02_32_45/2016_10_14_06_42_34_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_14/2016_10_14_05_17_13/2016_10_14_09_27_31_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_16_49_55/2016_10_23_21_37_50_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_15_00_48/2016_10_23_19_48_24_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_10_28_14/2016_10_23_15_15_05_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_10_22_01/2016_10_23_15_08_54_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_21_15_18/2016_10_24_02_03_56_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_01_43_48/2016_10_23_06_29_12_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_15_51_41/2016_10_23_20_39_27_openmpLavaMD_carolxeon1-mic0.log
m;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_01_58_31/2016_10_18_06_24_08_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_04_41_17/2016_10_18_09_07_20_openmpLavaMD_carolxeon1-mic0.log
dim_cpu;main_check.c;56;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_14_13_00/2016_10_18_18_40_38_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_07_22_48/2016_10_18_11_49_18_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_04_40_58/2016_10_18_09_07_00_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_14_12_41/2016_10_18_18_40_20_openmpLavaMD_carolxeon1-mic0.log
qv_cpu;main_check.c;59;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_09_58_43/2016_10_18_14_25_40_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_23_36_09/2016_10_20_04_09_18_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_19_22_35/2016_10_19_23_55_03_openmpLavaMD_carolxeon1-mic0.log
l;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_22_51_45/2016_10_20_03_24_48_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_00_40_11/2016_10_19_05_09_33_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_18_28_25/2016_10_19_23_00_45_openmpLavaMD_carolxeon1-mic0.log
n;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_06_50_17/2016_10_19_11_20_41_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_19/2016_10_19_00_37_55/2016_10_19_05_07_16_openmpLavaMD_carolxeon1-mic0.log
